fold,model,rmse,mae,r2,subject_rmse
1,LMM,0.4834890579109273,0.4083265029159867,0.031091866883901198,0.49112187880497404
1,AddLin,0.4868929625354116,0.4096722323933113,0.017401047977084416,0.49632009438159747
1,Spline,0.47869939624607244,0.3993943122281594,0.05019366627010324,0.4929479699825025
2,LMM,0.5284198786612091,0.4200778083761531,-0.05923330137699412,0.5309131263515903
2,AddLin,0.5284992017955216,0.4201844029496786,-0.05955133639133314,0.531000215738484
2,Spline,0.5204407752939045,0.40916412871353086,-0.027486116767981184,0.522645128946745
3,LMM,0.5534155943908107,0.4725963367108491,-0.06561762235749002,0.5334757530988159
3,AddLin,0.5540502741120096,0.4727483495538006,-0.06806321197032861,0.5345246388507024
3,Spline,0.5519930301674375,0.47094276138161906,-0.06014628694486879,0.5333358457652595
4,LMM,0.48461311032978616,0.39134354543731414,0.06216761400217652,0.4705443479166734
4,AddLin,0.4833575489050136,0.3905710367512319,0.06702089084874985,0.46957279673999597
4,Spline,0.4796052261471479,0.39007589233560486,0.08145016863960841,0.46645511995404043
5,LMM,0.514834077425397,0.4218784382836881,-0.11578085409745054,0.5023378591507621
5,AddLin,0.5135914099364225,0.4223268768680398,-0.11040098013498478,0.5012642902229981
5,Spline,0.4990240366866758,0.4079114969949287,-0.04830405013578343,0.4854981427547757
