variable,x,fit,low,high
gestational_week,11.0,-2.785496156143889,-2.864172242756899,-2.7068200695308793
gestational_week,11.181818181818182,-2.776893602773427,-2.8533034589743678,-2.7004837465724862
gestational_week,11.363636363636363,-2.7683012479350424,-2.842575700707766,-2.6940267951623187
gestational_week,11.545454545454545,-2.759729290160812,-2.832013360963408,-2.687445219358216
gestational_week,11.727272727272727,-2.7511879279828126,-2.821639437560816,-2.6807364184048095
gestational_week,11.90909090909091,-2.742687359933122,-2.8114750945269416,-2.6738996253393026
gestational_week,12.09090909090909,-2.7342377845438173,-2.8015392103767947,-2.66693635871084
gestational_week,12.272727272727273,-2.725849400346975,-2.7918479458159595,-2.6598508548779902
gestational_week,12.454545454545455,-2.7175324058746724,-2.782414369786441,-2.6526504419629036
gestational_week,12.636363636363637,-2.7092969996589877,-2.7732481844352392,-2.6453458148827362
gestational_week,12.818181818181818,-2.7011533802319967,-2.7643555848537025,-2.637951175610291
gestational_week,13.0,-2.693111746125777,-2.755739278005759,-2.6304842142457954
gestational_week,13.181818181818182,-2.6851822958724063,-2.7473986686371665,-2.622965923107646
gestational_week,13.363636363636363,-2.677375228003961,-2.739330201271752,-2.6154202547361702
gestational_week,13.545454545454545,-2.669700741052518,-2.731527830557093,-2.6078736515479433
gestational_week,13.727272727272727,-2.662169033550156,-2.7239835806587323,-2.6003544864415797
gestational_week,13.90909090909091,-2.65479030402895,-2.7166881500348192,-2.592892458023081
gestational_week,14.09090909090909,-2.6475747510209793,-2.7096315207195367,-2.585517981322422
gestational_week,14.272727272727273,-2.640532573058319,-2.7028035395336887,-2.578261606582949
gestational_week,14.454545454545455,-2.633673968673047,-2.6961944499136026,-2.5711534874324915
gestational_week,14.636363636363637,-2.627009136397241,-2.6897953648218884,-2.564222907972594
gestational_week,14.818181818181818,-2.620548274762978,-2.6835986816284207,-2.5574978678975353
gestational_week,15.0,-2.614301582302335,-2.6775984479406545,-2.5510047166640155
gestational_week,15.181818181818182,-2.6082792575473883,-2.67179069290021,-2.5447678221945664
gestational_week,15.363636363636363,-2.6024914990302164,-2.666173741735217,-2.538809256325216
