subject_id,n,sse,df
A003,2,0.010992512647217642,1
A010,2,0.015670975747919827,1
A023,2,0.006146063786904031,1
A026,2,0.0064778735395259815,1
A027,2,0.00011415566738804623,1
A041,2,0.003168815952677509,1
A041,2,0.06158206586185895,1
A049,2,0.00012844747985929473,1
A055,2,0.00013248668272929694,1
A066,2,0.09335365048565573,1
A069,2,0.0047195624993100925,1
A069,2,0.00020101878231964078,1
A079,2,0.0013587629861882295,1
A079,2,0.020378316946322608,1
A114,2,0.028914058850074347,1
A146,2,0.001993384470912787,1
A155,2,0.001366800030168597,1
A155,2,0.018931865744428202,1
