model,scale,scenario,repeats,groups_min,groups_max,mean_week_median,mean_week_min,mean_week_max,fraction_at_25_median
q2,0.0,high_delay,20,1,1,11.0,11.0,11.0,0.0
q2,0.0,low_delay,20,1,2,14.949170679507759,12.857142857142858,23.817549491706796,0.17228464419475656
q2,0.0,medium_delay,20,1,4,11.31888710540396,11.0,12.857142857142858,0.0
q2,0.0,step_only,20,1,2,23.772070626003213,14.721776350989835,25.0,0.898876404494382
q2,0.5,high_delay,20,1,1,11.0,11.0,11.0,0.0
q2,0.5,low_delay,20,1,2,15.017388978063135,12.813804173354734,23.817549491706796,0.17790262172284643
q2,0.5,medium_delay,20,1,4,11.281166399143927,11.0,12.857142857142858,0.0
q2,0.5,step_only,20,1,2,25.0,14.357945425361157,25.0,1.0
q2,1.0,high_delay,20,1,1,11.0,11.0,11.0,0.0
q2,1.0,low_delay,20,1,3,14.426163723916535,12.081326912787587,25.0,0.1292134831460674
q2,1.0,medium_delay,20,1,4,11.184323167469234,11.0,12.857142857142858,0.0
q2,1.0,step_only,20,1,2,25.0,12.857142857142858,25.0,1.0
q2,1.5,high_delay,20,1,1,11.0,11.0,11.0,0.0
q2,1.5,low_delay,20,1,2,14.76725521669342,11.646869983948635,23.817549491706796,0.15730337078651685
q2,1.5,medium_delay,20,1,4,11.174424826110219,11.0,12.857142857142858,0.0
q2,1.5,step_only,20,1,2,23.863028357410382,12.857142857142858,25.0,0.9063670411985019
q3_basic,0.0,high_delay,20,1,1,11.0,11.0,11.0,0.0
q3_basic,0.0,low_delay,20,1,4,15.267522739432852,12.857142857142858,25.0,0.18726591760299627
q3_basic,0.0,medium_delay,20,1,4,11.345371856607812,11.0,12.857142857142858,0.0
q3_basic,0.0,step_only,20,1,4,23.226324237560192,14.357945425361157,25.0,0.853932584269663
q3_basic,0.5,high_delay,20,1,1,11.0,11.0,11.0,0.0
q3_basic,0.5,low_delay,20,1,4,15.267522739432852,12.711075441412522,23.726591760299627,0.16853932584269662
q3_basic,0.5,medium_delay,20,1,4,11.28624933119315,11.0,12.857142857142858,0.0
q3_basic,0.5,step_only,20,1,4,25.0,14.357945425361157,25.0,1.0
q3_basic,1.0,high_delay,20,1,1,11.0,11.0,11.0,0.0
q3_basic,1.0,low_delay,20,1,4,14.880952380952381,12.13215623327983,23.817549491706796,0.1254681647940075
q3_basic,1.0,medium_delay,20,1,4,11.247726056714821,11.0,12.857142857142858,0.0
q3_basic,1.0,step_only,20,1,4,25.0,12.857142857142858,25.0,1.0
q3_basic,1.5,high_delay,20,1,1,11.0,11.0,11.0,0.0
q3_basic,1.5,low_delay,20,1,4,14.67629748528625,11.610486891385769,23.817549491706796,0.149812734082397
q3_basic,1.5,medium_delay,20,1,4,11.187800963081862,11.0,12.857142857142858,0.0
q3_basic,1.5,step_only,20,1,4,23.976725521669344,12.857142857142858,25.0,0.9157303370786517
