fold,model,scenario,k,status,train_expected_risk,cutpoints,weeks,counts,threshold,effective_groups,merged_cutpoints,merged_weeks,merged_counts
0,q2,step_only,1,full_data_conditional,0.13607198807507262,[],[12.857142857142858],[267],0.035,1,[],[12.857142857142858],[267]
0,q2,step_only,3,full_data_conditional,0.1303284145577584,"[29.05951596, 33.43796273185215]","[12.857142857142858, 12.857142857142858, 25.0]","[37, 167, 63]",0.035,2,[33.43796273185215],"[12.857142857142858, 25.0]","[204, 63]"
0,q2,step_only,4,full_data_conditional,0.1303284145577584,"[28.7075496663795, 29.43062944343895, 33.43796273185215]","[12.857142857142858, 12.857142857142858, 12.857142857142858, 25.0]","[25, 29, 150, 63]",0.035,2,[33.43796273185215],"[12.857142857142858, 25.0]","[204, 63]"
0,q2,low_delay,1,full_data_conditional,0.14535770236078696,[],[12.857142857142858],[267],0.035,1,[],[12.857142857142858],[267]
0,q2,low_delay,3,full_data_conditional,0.14535770236078696,"[28.7075496663795, 29.37857702]","[12.857142857142858, 12.857142857142858, 12.857142857142858]","[25, 25, 217]",0.035,1,[],[12.857142857142858],[267]
0,q2,low_delay,4,full_data_conditional,0.14535770236078696,"[28.7075496663795, 29.37857702, 29.975810298022402]","[12.857142857142858, 12.857142857142858, 12.857142857142858, 12.857142857142858]","[25, 25, 25, 192]",0.035,1,[],[12.857142857142858],[267]
0,q2,medium_delay,1,full_data_conditional,0.15569821839009396,[],[11.0],[267],0.035,1,[],[11.0],[267]
0,q2,medium_delay,3,full_data_conditional,0.15569821839009393,"[29.02116332289075, 29.8182661822407]","[11.0, 11.0, 11.0]","[34, 37, 196]",0.035,1,[],[11.0],[267]
0,q2,medium_delay,4,full_data_conditional,0.15569821839009393,"[29.02116332289075, 29.80803022604035, 31.27458389444175]","[11.0, 11.0, 11.0, 11.0]","[34, 36, 63, 134]",0.035,1,[],[11.0],[267]
0,q2,high_delay,1,full_data_conditional,0.15569821839009396,[],[11.0],[267],0.035,1,[],[11.0],[267]
0,q2,high_delay,3,full_data_conditional,0.15569821839009393,"[29.02116332289075, 29.8182661822407]","[11.0, 11.0, 11.0]","[34, 37, 196]",0.035,1,[],[11.0],[267]
0,q2,high_delay,4,full_data_conditional,0.15569821839009393,"[29.02116332289075, 29.80803022604035, 31.27458389444175]","[11.0, 11.0, 11.0, 11.0]","[34, 36, 63, 134]",0.035,1,[],[11.0],[267]
0,q3_basic,step_only,1,full_data_conditional,0.13609431916732034,[],[12.857142857142858],[267],0.035,1,[],[12.857142857142858],[267]
0,q3_basic,step_only,3,full_data_conditional,0.12994920206163574,"[29.02116332289075, 33.411452741852145]","[12.857142857142858, 12.857142857142858, 25.0]","[34, 169, 64]",0.035,2,[33.411452741852145],"[12.857142857142858, 25.0]","[203, 64]"
0,q3_basic,step_only,4,full_data_conditional,0.12994920206163574,"[28.7075496663795, 29.760862715000002, 33.411452741852145]","[12.857142857142858, 12.857142857142858, 12.857142857142858, 25.0]","[25, 43, 135, 64]",0.035,2,[33.411452741852145],"[12.857142857142858, 25.0]","[203, 64]"
0,q3_basic,low_delay,1,full_data_conditional,0.14538003345303444,[],[12.857142857142858],[267],0.035,1,[],[12.857142857142858],[267]
0,q3_basic,low_delay,3,full_data_conditional,0.1453800334530344,"[28.7075496663795, 29.415395388195698]","[12.857142857142858, 12.857142857142858, 12.857142857142858]","[25, 28, 214]",0.035,1,[],[12.857142857142858],[267]
0,q3_basic,low_delay,4,full_data_conditional,0.1453800334530344,"[28.7651952263795, 29.760862715000002, 30.3804461322209]","[12.857142857142858, 12.857142857142858, 12.857142857142858, 12.857142857142858]","[26, 42, 26, 173]",0.035,1,[],[12.857142857142858],[267]
0,q3_basic,medium_delay,1,full_data_conditional,0.15575508956570105,[],[11.0],[267],0.035,1,[],[11.0],[267]
0,q3_basic,medium_delay,3,full_data_conditional,0.15575508956570103,"[29.02116332289075, 29.760862715000002]","[11.0, 11.0, 11.0]","[34, 34, 199]",0.035,1,[],[11.0],[267]
0,q3_basic,medium_delay,4,full_data_conditional,0.15575508956570103,"[29.0348329778869, 29.8182661822407, 30.68221255328655]","[11.0, 11.0, 11.0, 11.0]","[35, 36, 44, 152]",0.035,1,[],[11.0],[267]
0,q3_basic,high_delay,1,full_data_conditional,0.15575508956570105,[],[11.0],[267],0.035,1,[],[11.0],[267]
0,q3_basic,high_delay,3,full_data_conditional,0.15575508956570103,"[29.02116332289075, 29.760862715000002]","[11.0, 11.0, 11.0]","[34, 34, 199]",0.035,1,[],[11.0],[267]
0,q3_basic,high_delay,4,full_data_conditional,0.15575508956570103,"[29.0348329778869, 29.8182661822407, 30.68221255328655]","[11.0, 11.0, 11.0, 11.0]","[35, 36, 44, 152]",0.035,1,[],[11.0],[267]
0,q2,step_only,1,full_data_conditional,0.1532537589364267,[],[25.0],[267],0.04,1,[],[25.0],[267]
0,q2,step_only,3,full_data_conditional,0.15325375893642668,"[29.172108809999997, 30.5924608559611]","[25.0, 25.0, 25.0]","[45, 66, 156]",0.04,1,[],[25.0],[267]
0,q2,step_only,4,full_data_conditional,0.15325375893642668,"[29.172108809999997, 30.46963577, 32.3549828705588]","[25.0, 25.0, 25.0, 25.0]","[45, 58, 60, 104]",0.04,1,[],[25.0],[267]
0,q2,low_delay,1,full_data_conditional,0.2024839378824481,[],[12.857142857142858],[267],0.04,1,[],[12.857142857142858],[267]
0,q2,low_delay,3,full_data_conditional,0.19716459758333027,"[28.7075496663795, 33.8470987770759]","[12.857142857142858, 12.857142857142858, 25.0]","[25, 187, 55]",0.04,2,[33.8470987770759],"[12.857142857142858, 25.0]","[212, 55]"
0,q2,low_delay,4,full_data_conditional,0.19716459758333027,"[28.7075496663795, 29.37857702, 33.8470987770759]","[12.857142857142858, 12.857142857142858, 12.857142857142858, 25.0]","[25, 25, 162, 55]",0.04,2,[33.8470987770759],"[12.857142857142858, 25.0]","[212, 55]"
0,q2,medium_delay,1,full_data_conditional,0.22650471980832068,[],[11.0],[267],0.04,1,[],[11.0],[267]
0,q2,medium_delay,3,full_data_conditional,0.22586155154045431,"[33.35885589395795, 34.411814519222446]","[11.0, 11.857142857142858, 12.857142857142858]","[200, 25, 42]",0.04,3,"[33.35885589395795, 34.411814519222446]","[11.0, 11.857142857142858, 12.857142857142858]","[200, 25, 42]"
0,q2,medium_delay,4,full_data_conditional,0.2258615515404543,"[29.0348329778869, 33.35885589395795, 34.411814519222446]","[11.0, 11.0, 11.857142857142858, 12.857142857142858]","[35, 165, 25, 42]",0.04,3,"[33.35885589395795, 34.411814519222446]","[11.0, 11.857142857142858, 12.857142857142858]","[200, 25, 42]"
0,q2,high_delay,1,full_data_conditional,0.22650471980832068,[],[11.0],[267],0.04,1,[],[11.0],[267]
0,q2,high_delay,3,full_data_conditional,0.22650471980832065,"[29.02116332289075, 29.78295940879965]","[11.0, 11.0, 11.0]","[34, 35, 198]",0.04,1,[],[11.0],[267]
0,q2,high_delay,4,full_data_conditional,0.22650471980832065,"[29.02116332289075, 29.749820315464298, 30.435518495]","[11.0, 11.0, 11.0, 11.0]","[34, 30, 34, 169]",0.04,1,[],[11.0],[267]
0,q3_basic,step_only,1,full_data_conditional,0.15296975961938308,[],[25.0],[267],0.04,1,[],[25.0],[267]
0,q3_basic,step_only,3,full_data_conditional,0.15296975961938306,"[29.0780592777865, 30.406106735]","[25.0, 25.0, 25.0]","[38, 58, 171]",0.04,1,[],[25.0],[267]
0,q3_basic,step_only,4,full_data_conditional,0.15296975961938306,"[29.0780592777865, 30.406106735, 31.996085665000003]","[25.0, 25.0, 25.0, 25.0]","[38, 58, 56, 115]",0.04,1,[],[25.0],[267]
0,q3_basic,low_delay,1,full_data_conditional,0.20268675625759305,[],[12.857142857142858],[267],0.04,1,[],[12.857142857142858],[267]
0,q3_basic,low_delay,3,full_data_conditional,0.19684829241924,"[28.813373329999997, 33.71727917055455]","[12.857142857142858, 12.857142857142858, 25.0]","[27, 181, 59]",0.04,2,[33.71727917055455],"[12.857142857142858, 25.0]","[208, 59]"
0,q3_basic,low_delay,4,full_data_conditional,0.19684829241923998,"[28.995840137890752, 30.117794359999998, 33.71727917055455]","[12.857142857142858, 12.857142857142858, 12.857142857142858, 25.0]","[33, 50, 125, 59]",0.04,2,[33.71727917055455],"[12.857142857142858, 25.0]","[208, 59]"
0,q3_basic,medium_delay,1,full_data_conditional,0.22690603332345688,[],[11.0],[267],0.04,1,[],[11.0],[267]
0,q3_basic,medium_delay,3,full_data_conditional,0.2261565337262495,"[33.411452741852145, 35.00033464]","[11.0, 12.285714285714286, 12.857142857142858]","[203, 31, 33]",0.04,3,"[33.411452741852145, 35.00033464]","[11.0, 12.285714285714286, 12.857142857142858]","[203, 31, 33]"
0,q3_basic,medium_delay,4,full_data_conditional,0.22615653372624947,"[29.0455820628869, 33.411452741852145, 35.00033464]","[11.0, 11.0, 12.285714285714286, 12.857142857142858]","[36, 167, 31, 33]",0.04,3,"[33.411452741852145, 35.00033464]","[11.0, 12.285714285714286, 12.857142857142858]","[203, 31, 33]"
0,q3_basic,high_delay,1,full_data_conditional,0.22690603332345688,[],[11.0],[267],0.04,1,[],[11.0],[267]
0,q3_basic,high_delay,3,full_data_conditional,0.22690603332345685,"[29.0455820628869, 33.128525569527596]","[11.0, 11.0, 11.0]","[36, 155, 76]",0.04,1,[],[11.0],[267]
0,q3_basic,high_delay,4,full_data_conditional,0.22690603332345685,"[29.10705821745655, 30.119388739999998, 30.613978178040647]","[11.0, 11.0, 11.0, 11.0]","[39, 45, 28, 155]",0.04,1,[],[11.0],[267]
0,q2,step_only,1,full_data_conditional,0.17211102594661964,[],[25.0],[267],0.045,1,[],[25.0],[267]
0,q2,step_only,3,full_data_conditional,0.17211102594661962,"[29.05951596, 29.760862715000002]","[25.0, 25.0, 25.0]","[37, 31, 199]",0.045,1,[],[25.0],[267]
0,q2,step_only,4,full_data_conditional,0.17211102594661962,"[29.10705821745655, 30.3017749204332, 31.6993715345789]","[25.0, 25.0, 25.0, 25.0]","[39, 53, 52, 123]",0.045,1,[],[25.0],[267]
0,q2,low_delay,1,full_data_conditional,0.24211102594661965,[],[25.0],[267],0.045,1,[],[25.0],[267]
0,q2,low_delay,3,full_data_conditional,0.24094321908730107,"[29.0780592777865, 29.760862715000002]","[12.857142857142858, 25.0, 25.0]","[38, 30, 199]",0.045,2,[29.0780592777865],"[12.857142857142858, 25.0]","[38, 229]"
0,q2,low_delay,4,full_data_conditional,0.24094321908730107,"[29.0780592777865, 29.760862715000002, 31.255424249441752]","[12.857142857142858, 25.0, 25.0, 25.0]","[38, 30, 64, 135]",0.045,2,[29.0780592777865],"[12.857142857142858, 25.0]","[38, 229]"
0,q2,medium_delay,1,full_data_conditional,0.29884250612111624,[],[12.857142857142858],[267],0.045,1,[],[12.857142857142858],[267]
0,q2,medium_delay,3,full_data_conditional,0.29879714451611716,"[28.7075496663795, 29.398260685]","[11.857142857142858, 12.857142857142858, 12.857142857142858]","[25, 27, 215]",0.045,2,[28.7075496663795],"[11.857142857142858, 12.857142857142858]","[25, 242]"
0,q2,medium_delay,4,full_data_conditional,0.29879714451611716,"[28.7075496663795, 29.37857702, 30.0196636680224]","[11.857142857142858, 12.857142857142858, 12.857142857142858, 12.857142857142858]","[25, 25, 26, 191]",0.045,2,[28.7075496663795],"[11.857142857142858, 12.857142857142858]","[25, 242]"
0,q2,high_delay,1,full_data_conditional,0.3045705929491201,[],[11.0],[267],0.045,1,[],[11.0],[267]
0,q2,high_delay,3,full_data_conditional,0.3045705929491201,"[29.02116332289075, 29.749820315464298]","[11.0, 11.0, 11.0]","[34, 30, 203]",0.045,1,[],[11.0],[267]
0,q2,high_delay,4,full_data_conditional,0.3045705929491201,"[29.02116332289075, 29.749820315464298, 30.435518495]","[11.0, 11.0, 11.0, 11.0]","[34, 30, 34, 169]",0.045,1,[],[11.0],[267]
0,q3_basic,step_only,1,full_data_conditional,0.17206789810292908,[],[25.0],[267],0.045,1,[],[25.0],[267]
