spec,bin_low,bin_high,rows,subjects,mean_prediction,observed_rate
week_bmi,0.5,0.7,17,13,0.6481445865834238,0.5294117647058824
week_bmi,0.7,0.8,156,106,0.7712339584042422,0.8397435897435898
week_bmi,0.8,0.9,585,261,0.8515390635472597,0.8700854700854701
week_bmi,0.9,0.95,250,153,0.9240449158385389,0.872
week_bmi,0.95,1.0,74,60,0.9599499527040596,0.9459459459459459
week_bmi_age,0.5,0.7,22,17,0.6530776309238752,0.6363636363636364
week_bmi_age,0.7,0.8,160,105,0.7692200250208027,0.8375
week_bmi_age,0.8,0.9,568,256,0.8527982509074709,0.8644366197183099
week_bmi_age,0.9,0.95,251,150,0.9242894186546071,0.8804780876494024
week_bmi_age,0.95,1.0,81,60,0.961517907058721,0.9506172839506173
week_bmi_age_conception,0.5,0.7,21,16,0.6513713376343537,0.6190476190476191
week_bmi_age_conception,0.7,0.8,164,108,0.7694644371176168,0.8353658536585366
week_bmi_age_conception,0.8,0.9,566,255,0.8527279630037211,0.8674911660777385
week_bmi_age_conception,0.9,0.95,246,150,0.9242898881526819,0.8861788617886179
week_bmi_age_conception,0.95,1.0,85,61,0.9635705540011753,0.9176470588235294
