bmi,week,achieved,target
21.0,,False,0.85
21.5,24.89999999999995,True,0.85
22.0,24.299999999999947,True,0.85
22.5,23.59999999999995,True,0.85
23.0,23.09999999999995,True,0.85
23.5,22.499999999999957,True,0.85
24.0,21.999999999999957,True,0.85
24.5,21.59999999999996,True,0.85
25.0,21.09999999999996,True,0.85
25.5,20.69999999999996,True,0.85
26.0,20.29999999999996,True,0.85
26.5,19.899999999999963,True,0.85
27.0,19.499999999999964,True,0.85
27.5,13.699999999999987,True,0.85
28.0,13.099999999999989,True,0.85
28.5,12.69999999999999,True,0.85
29.0,12.499999999999991,True,0.85
29.5,12.299999999999992,True,0.85
30.0,12.199999999999992,True,0.85
30.5,12.199999999999992,True,0.85
31.0,12.299999999999992,True,0.85
31.5,12.499999999999991,True,0.85
32.0,12.79999999999999,True,0.85
32.5,13.199999999999989,True,0.85
33.0,13.699999999999987,True,0.85
33.5,19.399999999999967,True,0.85
34.0,19.699999999999967,True,0.85
34.5,19.899999999999963,True,0.85
35.0,20.199999999999964,True,0.85
35.5,20.399999999999963,True,0.85
36.0,20.599999999999962,True,0.85
36.5,20.79999999999996,True,0.85
37.0,20.99999999999996,True,0.85
37.5,21.09999999999996,True,0.85
38.0,21.29999999999996,True,0.85
38.5,21.499999999999957,True,0.85
39.0,21.59999999999996,True,0.85
39.5,21.799999999999958,True,0.85
40.0,21.999999999999957,True,0.85
40.5,22.09999999999996,True,0.85
41.0,22.299999999999955,True,0.85
41.5,22.499999999999957,True,0.85
42.0,22.599999999999955,True,0.85
42.5,22.799999999999955,True,0.85
43.0,22.899999999999956,True,0.85
43.5,23.09999999999995,True,0.85
44.0,23.299999999999955,True,0.85
44.5,23.399999999999952,True,0.85
45.0,23.59999999999995,True,0.85
45.5,23.79999999999995,True,0.85
46.0,23.89999999999995,True,0.85
46.5,24.09999999999995,True,0.85
47.0,24.299999999999947,True,0.85
21.0,,False,0.9
21.5,,False,0.9
22.0,,False,0.9
22.5,,False,0.9
23.0,24.49999999999995,True,0.9
23.5,23.89999999999995,True,0.9
24.0,23.299999999999955,True,0.9
24.5,22.799999999999955,True,0.9
25.0,22.399999999999956,True,0.9
25.5,21.899999999999956,True,0.9
26.0,21.59999999999996,True,0.9
26.5,21.19999999999996,True,0.9
27.0,20.899999999999963,True,0.9
27.5,20.599999999999962,True,0.9
28.0,20.29999999999996,True,0.9
28.5,20.099999999999966,True,0.9
29.0,19.899999999999963,True,0.9
29.5,19.799999999999965,True,0.9
30.0,19.799999999999965,True,0.9
30.5,19.799999999999965,True,0.9
31.0,19.899999999999963,True,0.9
31.5,19.999999999999964,True,0.9
32.0,20.199999999999964,True,0.9
32.5,20.399999999999963,True,0.9
33.0,20.599999999999962,True,0.9
33.5,20.79999999999996,True,0.9
34.0,20.99999999999996,True,0.9
34.5,21.19999999999996,True,0.9
35.0,21.39999999999996,True,0.9
35.5,21.59999999999996,True,0.9
36.0,21.799999999999958,True,0.9
36.5,21.999999999999957,True,0.9
37.0,22.199999999999957,True,0.9
37.5,22.399999999999956,True,0.9
38.0,22.599999999999955,True,0.9
38.5,22.699999999999953,True,0.9
39.0,22.899999999999956,True,0.9
39.5,23.09999999999995,True,0.9
40.0,23.299999999999955,True,0.9
40.5,23.49999999999995,True,0.9
41.0,23.59999999999995,True,0.9
41.5,23.79999999999995,True,0.9
42.0,23.99999999999995,True,0.9
42.5,24.19999999999995,True,0.9
43.0,24.39999999999995,True,0.9
43.5,24.49999999999995,True,0.9
44.0,24.699999999999946,True,0.9
44.5,24.89999999999995,True,0.9
45.0,,False,0.9
45.5,,False,0.9
46.0,,False,0.9
46.5,,False,0.9
47.0,,False,0.9
21.0,,False,0.95
21.5,,False,0.95
22.0,,False,0.95
22.5,,False,0.95
23.0,,False,0.95
23.5,,False,0.95
24.0,,False,0.95
24.5,24.999999999999947,True,0.95
25.0,24.49999999999995,True,0.95
25.5,23.99999999999995,True,0.95
26.0,23.49999999999995,True,0.95
26.5,23.09999999999995,True,0.95
27.0,22.799999999999955,True,0.95
27.5,22.499999999999957,True,0.95
28.0,22.199999999999957,True,0.95
28.5,21.999999999999957,True,0.95
29.0,21.899999999999956,True,0.95
29.5,21.799999999999958,True,0.95
30.0,21.69999999999996,True,0.95
30.5,21.69999999999996,True,0.95
31.0,21.799999999999958,True,0.95
31.5,21.899999999999956,True,0.95
32.0,22.09999999999996,True,0.95
32.5,22.299999999999955,True,0.95
33.0,22.499999999999957,True,0.95
33.5,22.699999999999953,True,0.95
34.0,22.899999999999956,True,0.95
34.5,23.199999999999953,True,0.95
35.0,23.399999999999952,True,0.95
35.5,23.59999999999995,True,0.95
36.0,23.79999999999995,True,0.95
36.5,23.99999999999995,True,0.95
37.0,24.299999999999947,True,0.95
37.5,24.49999999999995,True,0.95
38.0,24.699999999999946,True,0.95
38.5,24.89999999999995,True,0.95
39.0,,False,0.95
39.5,,False,0.95
40.0,,False,0.95
40.5,,False,0.95
41.0,,False,0.95
41.5,,False,0.95
42.0,,False,0.95
42.5,,False,0.95
43.0,,False,0.95
43.5,,False,0.95
44.0,,False,0.95
44.5,,False,0.95
45.0,,False,0.95
45.5,,False,0.95
46.0,,False,0.95
46.5,,False,0.95
47.0,,False,0.95
