t90_mean,t90_feasible,band_mean90,risk_mean_t,risk_min_t,risk_max_t,k3_bounds,k3_band_weeks,sigma,rep
23.24,40,"[22.94, 22.36, 23.86]",12.38,12.0,12.8,"[21.5, 34.0]","[22.1, 22.5, 23.5]",0.0177,0
22.62,29,"[22.18, 22.2, 24.0]",12.9,12.0,13.5,"[21.5, 33.5]","[21.2, 22.4, 24.3]",0.0177,1
23.89,29,"[23.43, 23.56, 24.58]",12.28,12.0,12.8,"[21.5, 33.5]","[23.0, 23.7, 24.6]",0.0177,2
23.49,29,"[23.31, 23.02, 24.26]",12.0,12.0,12.0,"[21.5, 34.0]","[22.6, 23.2, 24.4]",0.0177,3
23.68,37,"[23.6, 23.0, 24.14]",12.0,12.0,12.0,"[21.5, 30.0]","[23.1, 22.9, 24.1]",0.0177,4
23.26,37,"[22.78, 22.66, 24.09]",12.66,12.0,13.1,"[21.5, 33.5]","[22.0, 22.8, 23.9]",0.0177,5
23.74,46,"[23.49, 23.28, 23.99]",12.0,12.0,12.0,"[21.5, 33.5]","[22.9, 23.3, 23.8]",0.0177,6
23.47,24,"[23.06, 23.72, 24.7]",12.0,12.0,12.0,"[21.5, 33.0]","[22.5, 23.6, 24.7]",0.0177,7
22.63,33,"[22.34, 22.0, 23.72]",12.18,12.0,12.6,"[21.5, 34.0]","[21.5, 22.2, 23.9]",0.0177,8
23.19,34,"[22.83, 22.42, 23.93]",12.0,12.0,12.0,"[21.5, 34.0]","[22.1, 22.6, 23.7]",0.0177,9
22.86,27,"[22.45, 22.34, 24.1]",12.37,12.0,13.0,"[21.5, 34.0]","[21.7, 22.6, 24.3]",0.0177,10
23.44,45,"[22.25, 22.36, 24.34]",12.74,12.1,13.1,"[21.5, 33.5]","[21.5, 22.5, 23.8]",0.0177,11
23.31,43,"[21.93, 22.6, 24.19]",12.0,12.0,12.0,"[21.5, 33.0]","[21.2, 22.4, 23.8]",0.0177,12
24.07,39,"[23.79, 23.7, 24.54]",12.0,12.0,12.0,"[21.5, 33.5]","[23.3, 23.8, 24.4]",0.0177,13
22.79,27,"[22.75, 21.8, 23.4]",12.32,12.0,12.8,"[21.5, 30.0]","[22.8, 21.8, 23.6]",0.0177,14
22.54,32,"[22.18, 21.8, 23.53]",12.77,12.1,13.2,"[21.5, 34.0]","[21.4, 22.0, 23.6]",0.0177,15
22.83,37,"[22.56, 21.92, 23.65]",12.0,12.0,12.0,"[21.5, 34.0]","[21.6, 22.1, 23.5]",0.0177,16
21.84,27,"[21.42, 21.22, 22.96]",12.0,12.0,12.0,"[21.5, 34.0]","[20.8, 21.4, 23.4]",0.0177,17
22.17,20,"[21.6, 22.7, 24.6]",12.0,12.0,12.0,"[21.5, 33.5]","[21.0, 22.8, 24.9]",0.0177,18
23.63,41,"[23.32, 23.16, 24.28]",12.45,12.0,13.0,"[21.5, 33.0]","[22.6, 23.1, 24.1]",0.0177,19
24.76,9,"[24.72, 25.0, None]",12.0,12.0,12.0,"[21.5, 30.0]","[24.9, 24.7, 25.0]",0.0354,0
25.0,2,"[25.0, None, None]",12.0,12.0,12.0,"[21.5, 30.0]","[25.0, 25.0, 25.0]",0.0354,1
25.0,4,"[25.0, None, None]",12.91,12.4,13.3,"[21.5, 30.5]","[25.0, 25.0, 25.0]",0.0354,2
24.2,25,"[24.03, 24.5, 24.95]",12.0,12.0,12.0,"[21.5, 33.0]","[23.7, 24.4, 24.9]",0.0354,3
,0,"[None, None, None]",13.15,12.7,13.5,"[21.5, 30.0]","[25.0, 25.0, 25.0]",0.0354,4
,0,"[None, None, None]",12.0,12.0,12.0,"[21.5, 30.0]","[25.0, 25.0, 25.0]",0.0354,5
24.25,18,"[24.08, 24.52, 24.9]",12.0,12.0,12.0,"[21.5, 33.0]","[23.9, 24.4, 24.9]",0.0354,6
24.5,12,"[24.5, None, None]",12.0,12.0,12.0,"[21.5, 31.0]","[24.3, 24.5, 25.0]",0.0354,7
24.72,4,"[24.72, None, None]",12.0,12.0,12.0,"[21.5, 30.5]","[25.0, 24.7, 25.0]",0.0354,8
24.55,15,"[24.45, 24.8, None]",12.0,12.0,12.0,"[21.5, 33.0]","[24.3, 24.6, 25.0]",0.0354,9
24.45,6,"[24.45, None, None]",12.0,12.0,12.0,"[21.5, 30.0]","[24.9, 24.3, 25.0]",0.0354,10
,0,"[None, None, None]",12.92,12.5,13.3,"[21.5, 30.0]","[25.0, 25.0, 25.0]",0.0354,11
25.0,4,"[25.0, None, None]",12.16,12.0,12.4,"[21.5, 30.5]","[25.0, 25.0, 25.0]",0.0354,12
23.35,18,"[23.07, 23.42, 24.7]",12.0,12.0,12.0,"[21.5, 34.0]","[22.8, 23.6, 24.9]",0.0354,13
24.27,9,"[24.17, 25.0, None]",12.61,12.0,13.0,"[21.5, 30.0]","[24.6, 23.9, 24.9]",0.0354,14
24.43,16,"[24.34, 24.83, None]",12.0,12.0,12.0,"[21.5, 32.5]","[24.2, 24.7, 25.0]",0.0354,15
24.36,16,"[24.38, 24.18, 24.7]",12.49,12.0,12.9,"[21.5, 30.0]","[24.8, 24.2, 24.9]",0.0354,16
23.39,10,"[23.39, None, None]",12.06,12.0,12.2,"[21.5, 31.0]","[22.9, 23.6, 25.0]",0.0354,17
24.59,9,"[24.59, None, None]",12.0,12.0,12.0,"[21.5, 30.0]","[25.0, 25.0, 25.0]",0.0354,18
,0,"[None, None, None]",12.0,12.0,12.0,"[21.5, 30.0]","[25.0, 25.0, 25.0]",0.0354,19
