fold,spec,record_brier,subject_brier,record_log_loss,subject_log_loss
1,Q2_baseline,0.09805062320713263,0.1134088340689033,0.33975397897303844,0.3758032855296947
1,Q3_A_bmi_age_ivf,0.09923521858545269,0.11457954162918434,0.3433660125412555,0.38015536113501225
1,Q3_B_hw_age,0.09451913032345897,0.1103663134959091,0.32871668156571543,0.3666774565895593
2,Q2_baseline,0.11669194999297636,0.11734070466218834,0.4058719119961841,0.4080022175334601
2,Q3_A_bmi_age_ivf,0.11666348659963223,0.1172218402479128,0.4063913971868323,0.4079774282356953
2,Q3_B_hw_age,0.11471481318028025,0.11524674508168087,0.3955945706126281,0.3970937851180399
3,Q2_baseline,0.1486303595906758,0.13321033257127102,0.4816605032176561,0.4395787997709984
3,Q3_A_bmi_age_ivf,0.15258165048874928,0.13665775457401624,0.7868804910111306,0.6991051860331162
3,Q3_B_hw_age,0.15564612555583618,0.13963366846058373,0.534037270423531,0.48190764310020945
4,Q2_baseline,0.09585323782797298,0.08812585702361284,0.3357391444730945,0.31826378910818504
4,Q3_A_bmi_age_ivf,0.09585818038624305,0.08830451384652133,0.3348216800180331,0.31762848541979743
4,Q3_B_hw_age,0.09282475504211178,0.08613800656639216,0.321938402310023,0.3073709151974412
5,Q2_baseline,0.1161565001111324,0.10575770961761959,0.40152785574433775,0.37610903097354575
5,Q3_A_bmi_age_ivf,0.1181567222007611,0.10837300536187502,0.4059841579233702,0.38251020409238706
5,Q3_B_hw_age,0.11648842845353563,0.10774921517210119,0.3990936736227088,0.3771696994679672
