fold,model,scenario,k,status,train_expected_risk,heldout_expected_risk,heldout_subjects,heldout_outside_bmi_range,cutpoints,weeks,counts
1,q2,step_only,1,model_dependent,0.1551576617472704,0.15612151559329643,54,1,[],[25.0],[213]
1,q2,step_only,3,model_dependent,0.1551576617472704,0.15612151559329643,54,1,"[29.172108809999997, 30.456294565]","[25.0, 25.0, 25.0]","[35, 43, 135]"
1,q2,step_only,4,model_dependent,0.1551576617472704,0.15612151559329643,54,1,"[29.172108809999997, 30.456294565, 33.1279444036214]","[25.0, 25.0, 25.0, 25.0]","[35, 43, 74, 61]"
1,q2,low_delay,1,model_dependent,0.2018235856934053,0.20313621870828602,54,1,[],[12.857142857142858],[213]
1,q2,low_delay,3,model_dependent,0.19906679851571896,0.19944707108263932,54,1,"[28.9759443680863, 34.6456217064828]","[12.857142857142858, 12.857142857142858, 25.0]","[25, 159, 29]"
1,q2,low_delay,4,model_dependent,0.19906679851571896,0.19944707108263932,54,1,"[28.9759443680863, 29.749820315464298, 34.6456217064828]","[12.857142857142858, 12.857142857142858, 12.857142857142858, 25.0]","[25, 25, 134, 29]"
1,q2,medium_delay,1,model_dependent,0.2248062350432364,0.2260949508788664,54,1,[],[11.0],[213]
1,q2,medium_delay,3,model_dependent,0.22457918847083905,0.22581554866007483,54,1,"[29.32178088201715, 35.00033464]","[11.0, 11.0, 12.857142857142858]","[38, 150, 25]"
1,q2,medium_delay,4,model_dependent,0.22457918847083905,0.22581554866007483,54,1,"[29.43062944343895, 32.0931884444288, 35.00033464]","[11.0, 11.0, 11.0, 12.857142857142858]","[44, 81, 63, 25]"
1,q2,high_delay,1,model_dependent,0.2248062350432364,0.2260949508788664,54,1,[],[11.0],[213]
1,q2,high_delay,3,model_dependent,0.22480623504323638,0.2260949508788664,54,1,"[29.26591345677795, 30.4768398]","[11.0, 11.0, 11.0]","[37, 44, 132]"
1,q2,high_delay,4,model_dependent,0.22480623504323638,0.2260949508788664,54,1,"[29.26591345677795, 30.3017749204332, 32.93512720905445]","[11.0, 11.0, 11.0, 11.0]","[37, 34, 75, 67]"
1,q3_basic,step_only,1,model_dependent,0.15510387939655607,0.15543194263719126,54,1,[],[25.0],[213]
1,q3_basic,step_only,3,model_dependent,0.15510387939655604,0.15543194263719126,54,1,"[29.26591345677795, 30.75052001013085]","[25.0, 25.0, 25.0]","[37, 55, 121]"
1,q3_basic,step_only,4,model_dependent,0.15510387939655604,0.15543194263719126,54,1,"[29.26591345677795, 30.75052001013085, 33.38110521706205]","[25.0, 25.0, 25.0, 25.0]","[37, 55, 69, 52]"
1,q3_basic,low_delay,1,model_dependent,0.20203801589022902,0.20290056283840716,54,1,[],[12.857142857142858],[213]
1,q3_basic,low_delay,3,model_dependent,0.19900241761977808,0.19845677681980622,54,1,"[28.9759443680863, 35.00033464]","[12.857142857142858, 12.857142857142858, 25.0]","[25, 163, 25]"
1,q3_basic,low_delay,4,model_dependent,0.19900241761977805,0.19845677681980622,54,1,"[29.071831297786503, 30.483268680000002, 35.00033464]","[12.857142857142858, 12.857142857142858, 12.857142857142858, 25.0]","[30, 53, 105, 25]"
1,q3_basic,medium_delay,1,model_dependent,0.22512042948173466,0.22608276266100252,54,1,[],[11.0],[213]
1,q3_basic,medium_delay,3,model_dependent,0.2248499239816911,0.22564817014685246,54,1,"[29.37857702, 35.00033464]","[11.0, 11.0, 12.857142857142858]","[40, 148, 25]"
1,q3_basic,medium_delay,4,model_dependent,0.2248499239816911,0.22564817014685246,54,1,"[29.26591345677795, 31.7686576929447, 35.00033464]","[11.0, 11.0, 11.0, 12.857142857142858]","[37, 79, 72, 25]"
1,q3_basic,high_delay,1,model_dependent,0.22512042948173466,0.22608276266100252,54,1,[],[11.0],[213]
