fold,model,scenario,k,status,train_expected_risk,heldout_expected_risk,heldout_subjects,heldout_outside_bmi_range,cutpoints,weeks,counts,effective_groups,merged_cutpoints,merged_weeks,merged_counts,boundary_groups
1,q2,step_only,1,model_dependent,0.1551576617472704,0.1561215155932964,54,1,[],[25.0],[213],1,[],[25.0],[213],1
1,q2,step_only,3,model_dependent,0.1551576617472704,0.1561215155932964,54,1,"[29.172108809999997, 30.456294565]","[25.0, 25.0, 25.0]","[35, 43, 135]",1,[],[25.0],[213],1
1,q2,step_only,4,model_dependent,0.1551576617472704,0.1561215155932964,54,1,"[29.172108809999997, 30.456294565, 33.1279444036214]","[25.0, 25.0, 25.0, 25.0]","[35, 43, 74, 61]",1,[],[25.0],[213],1
1,q2,low_delay,1,model_dependent,0.2018235856934053,0.203136218708286,54,1,[],[12.857142857142858],[213],1,[],[12.857142857142858],[213],0
1,q2,low_delay,3,model_dependent,0.1990667985157189,0.1994470710826393,54,1,"[28.9759443680863, 34.6456217064828]","[12.857142857142858, 12.857142857142858, 25.0]","[25, 159, 29]",2,[34.6456217064828],"[12.857142857142858, 25.0]","[184, 29]",1
1,q2,low_delay,4,model_dependent,0.1990667985157189,0.1994470710826393,54,1,"[28.9759443680863, 29.749820315464298, 34.6456217064828]","[12.857142857142858, 12.857142857142858, 12.857142857142858, 25.0]","[25, 25, 134, 29]",2,[34.6456217064828],"[12.857142857142858, 25.0]","[184, 29]",1
1,q2,medium_delay,1,model_dependent,0.2248062350432364,0.2260949508788664,54,1,[],[11.0],[213],1,[],[11.0],[213],1
1,q2,medium_delay,3,model_dependent,0.224579188470839,0.2258155486600748,54,1,"[29.32178088201715, 35.00033464]","[11.0, 11.0, 12.857142857142858]","[38, 150, 25]",2,[35.00033464],"[11.0, 12.857142857142858]","[188, 25]",1
1,q2,medium_delay,4,model_dependent,0.224579188470839,0.2258155486600748,54,1,"[29.43062944343895, 32.0931884444288, 35.00033464]","[11.0, 11.0, 11.0, 12.857142857142858]","[44, 81, 63, 25]",2,[35.00033464],"[11.0, 12.857142857142858]","[188, 25]",1
1,q2,high_delay,1,model_dependent,0.2248062350432364,0.2260949508788664,54,1,[],[11.0],[213],1,[],[11.0],[213],1
1,q2,high_delay,3,model_dependent,0.2248062350432363,0.2260949508788664,54,1,"[29.26591345677795, 30.4768398]","[11.0, 11.0, 11.0]","[37, 44, 132]",1,[],[11.0],[213],1
1,q2,high_delay,4,model_dependent,0.2248062350432363,0.2260949508788664,54,1,"[29.26591345677795, 30.3017749204332, 32.93512720905445]","[11.0, 11.0, 11.0, 11.0]","[37, 34, 75, 67]",1,[],[11.0],[213],1
1,q3_basic,step_only,1,model_dependent,0.155103879396556,0.1554319426371912,54,1,[],[25.0],[213],1,[],[25.0],[213],1
