model,scenario,requested_groups,effective_groups_min,effective_groups_max,subject_weighted_model_risk,outside_training_bmi_subjects
q2,high_delay,1,1,1,0.22647987412743464,2
q2,high_delay,3,1,1,0.22647987412743464,2
q2,high_delay,4,1,1,0.22647987412743464,2
q2,low_delay,1,1,1,0.20250790182993536,2
q2,low_delay,3,2,2,0.196421824633789,2
q2,low_delay,4,2,2,0.196421824633789,2
q2,medium_delay,1,1,1,0.2260200821187625,2
q2,medium_delay,3,2,3,0.2254686238840745,2
q2,medium_delay,4,2,4,0.22546700800253539,2
q2,step_only,1,1,1,0.1534964289745535,2
q2,step_only,3,1,2,0.15292846721588757,2
q2,step_only,4,1,2,0.15292846721588757,2
q3_basic,high_delay,1,1,1,0.22727821303232648,2
q3_basic,high_delay,3,1,1,0.22727821303232648,2
q3_basic,high_delay,4,1,1,0.22727821303232648,2
q3_basic,low_delay,1,1,1,0.20309017038178007,2
q3_basic,low_delay,3,2,2,0.19683502049412502,2
q3_basic,low_delay,4,2,2,0.19683502049412502,2
q3_basic,medium_delay,1,1,1,0.2268072699525051,2
q3_basic,medium_delay,3,2,3,0.2262038880085902,2
q3_basic,medium_delay,4,2,4,0.22619843002529116,2
q3_basic,step_only,1,1,1,0.1535053861789966,2
q3_basic,step_only,3,1,2,0.15298423270020683,2
q3_basic,step_only,4,1,4,0.1528253515189764,2
q3_full,high_delay,1,1,1,0.22706961172755583,2
q3_full,high_delay,3,1,1,0.22706961172755583,2
q3_full,high_delay,4,1,1,0.22706961172755583,2
q3_full,low_delay,1,1,1,0.20308055003385458,2
q3_full,low_delay,3,2,2,0.19606878864258298,2
q3_full,low_delay,4,2,4,0.1961369798960016,2
q3_full,medium_delay,1,1,1,0.22663729798789042,2
q3_full,medium_delay,3,2,3,0.22588711852621932,2
q3_full,medium_delay,4,2,4,0.22604295408515962,2
q3_full,step_only,1,1,1,0.15386437421398524,2
q3_full,step_only,3,1,2,0.15355438867787788,2
q3_full,step_only,4,1,4,0.15347816136376843,2
