fold,model,scenario,k,status,train_expected_risk,cutpoints,weeks,counts,repeat,scale,effective_groups,merged_cuts,merged_weeks,merged_counts,fraction_at_25,mean_week
0,q2,step_only,4,bootstrap_conditional,0.1651920633403862,"[28.821843131379502, 30.3017749204332, 32.9759465231214]","[12.857142857142858, 12.857142857142858, 25.0, 25.0]","[25, 58, 102, 82]",0,0.0,2,[30.3017749204332],"[12.857142857142858, 25.0]","[83, 184]",0.6891385767790262,21.22525414660246
0,q2,low_delay,4,bootstrap_conditional,0.1930822787288932,"[28.821843131379502, 29.9478781980224, 35.1705589940727]","[12.857142857142858, 12.857142857142858, 12.857142857142858, 25.0]","[25, 44, 173, 25]",0,0.0,2,[35.1705589940727],"[12.857142857142858, 25.0]","[242, 25]",0.09363295880149813,13.994114499732477
0,q2,medium_delay,4,bootstrap_conditional,0.2107706908605595,"[29.10705821745655, 31.269159645000002, 33.0606690944397]","[11.0, 11.0, 11.0, 11.0]","[36, 95, 59, 77]",0,0.0,1,[],[11.0],[267],0.0,11.0
0,q2,high_delay,4,bootstrap_conditional,0.2107706908605595,"[29.10705821745655, 31.269159645000002, 33.0606690944397]","[11.0, 11.0, 11.0, 11.0]","[36, 95, 59, 77]",0,0.0,1,[],[11.0],[267],0.0,11.0
0,q3_basic,step_only,4,bootstrap_conditional,0.1652831504882748,"[29.37857702, 30.201034931504502, 31.145124715]","[12.857142857142858, 25.0, 12.857142857142858, 25.0]","[51, 30, 41, 145]",0,0.0,4,"[29.37857702, 30.201034931504502, 31.145124715]","[12.857142857142858, 25.0, 12.857142857142858, 25.0]","[51, 30, 41, 145]",0.6554307116104869,20.815944355270197
0,q3_basic,low_delay,4,bootstrap_conditional,0.1925407841132277,"[28.821843131379502, 29.89542649103325, 35.1705589940727]","[12.857142857142858, 12.857142857142858, 12.857142857142858, 25.0]","[25, 43, 174, 25]",0,0.0,2,[35.1705589940727],"[12.857142857142858, 25.0]","[242, 25]",0.09363295880149813,13.994114499732477
0,q3_basic,medium_delay,4,bootstrap_conditional,0.2105590071553406,"[28.821843131379502, 29.398260685, 30.435518495]","[11.0, 11.0, 11.0, 11.0]","[25, 28, 38, 176]",0,0.0,1,[],[11.0],[267],0.0,11.0
0,q3_basic,high_delay,4,bootstrap_conditional,0.2105590071553406,"[28.821843131379502, 29.398260685, 30.435518495]","[11.0, 11.0, 11.0, 11.0]","[25, 28, 38, 176]",0,0.0,1,[],[11.0],[267],0.0,11.0
0,q2,step_only,4,bootstrap_conditional,0.1695464736806619,"[28.821843131379502, 29.37857702, 30.84796485]","[12.857142857142858, 12.857142857142858, 12.857142857142858, 25.0]","[25, 26, 64, 152]",0,0.5,2,[30.84796485],"[12.857142857142858, 25.0]","[115, 152]",0.5692883895131086,19.76993044408775
0,q2,low_delay,4,bootstrap_conditional,0.1933870512315056,"[28.821843131379502, 29.37857702, 35.1705589940727]","[12.857142857142858, 12.857142857142858, 12.857142857142858, 25.0]","[25, 26, 191, 25]",0,0.5,2,[35.1705589940727],"[12.857142857142858, 25.0]","[242, 25]",0.09363295880149813,13.994114499732477
0,q2,medium_delay,4,bootstrap_conditional,0.2076042242103342,"[28.821843131379502, 29.398260685, 30.3017749204332]","[11.0, 11.0, 11.0, 11.0]","[25, 28, 30, 184]",0,0.5,1,[],[11.0],[267],0.0,11.0
0,q2,high_delay,4,bootstrap_conditional,0.2076042242103342,"[28.821843131379502, 29.398260685, 30.3017749204332]","[11.0, 11.0, 11.0, 11.0]","[25, 28, 30, 184]",0,0.5,1,[],[11.0],[267],0.0,11.0
0,q3_basic,step_only,4,bootstrap_conditional,0.1695727968642221,"[29.02420649077765, 30.435518495, 31.4872464292182]","[12.857142857142858, 12.857142857142858, 12.857142857142858, 25.0]","[30, 61, 45, 131]",0,0.5,2,[31.4872464292182],"[12.857142857142858, 25.0]","[136, 131]",0.49063670411985016,18.814874264312465
0,q3_basic,low_delay,4,bootstrap_conditional,0.1930258763346914,"[29.0455820628869, 33.9632508881169, 35.1705589940727]","[12.857142857142858, 12.857142857142858, 12.857142857142858, 25.0]","[31, 183, 28, 25]",0,0.5,2,[35.1705589940727],"[12.857142857142858, 25.0]","[242, 25]",0.09363295880149813,13.994114499732477
0,q3_basic,medium_delay,4,bootstrap_conditional,0.207197467888433,"[29.071831297786503, 31.30462428941985, 32.9759465231214]","[11.0, 11.0, 11.0, 11.0]","[35, 97, 53, 82]",0,0.5,1,[],[11.0],[267],0.0,11.0
0,q3_basic,high_delay,4,bootstrap_conditional,0.207197467888433,"[29.071831297786503, 31.30462428941985, 32.9759465231214]","[11.0, 11.0, 11.0, 11.0]","[35, 97, 53, 82]",0,0.5,1,[],[11.0],[267],0.0,11.0
0,q2,step_only,4,bootstrap_conditional,0.1729605391706604,"[28.821843131379502, 29.37857702, 30.201034931504502]","[12.857142857142858, 12.857142857142858, 12.857142857142858, 25.0]","[25, 26, 30, 186]",0,1.0,2,[30.201034931504502],"[12.857142857142858, 25.0]","[81, 186]",0.6966292134831461,21.316211878009632
0,q2,low_delay,4,bootstrap_conditional,0.1987900850658677,"[29.152824510000002, 33.9632508881169, 35.1705589940727]","[12.857142857142858, 12.857142857142858, 12.857142857142858, 25.0]","[44, 170, 28, 25]",0,1.0,2,[35.1705589940727],"[12.857142857142858, 25.0]","[242, 25]",0.09363295880149813,13.994114499732477
0,q2,medium_delay,4,bootstrap_conditional,0.214014064482089,"[29.334636189999998, 30.4768398, 32.825957630000005]","[11.0, 11.0, 11.0, 11.0]","[47, 48, 80, 92]",0,1.0,1,[],[11.0],[267],0.0,11.0
0,q2,high_delay,4,bootstrap_conditional,0.214014064482089,"[29.334636189999998, 30.4768398, 32.825957630000005]","[11.0, 11.0, 11.0, 11.0]","[47, 48, 80, 92]",0,1.0,1,[],[11.0],[267],0.0,11.0
0,q3_basic,step_only,4,bootstrap_conditional,0.1730774463178997,"[28.821843131379502, 29.37857702, 30.435518495]","[12.857142857142858, 12.857142857142858, 12.857142857142858, 25.0]","[25, 26, 40, 176]",0,1.0,2,[30.435518495],"[12.857142857142858, 25.0]","[91, 176]",0.6591760299625468,20.861423220973784
0,q3_basic,low_delay,4,bootstrap_conditional,0.1984087591219931,"[29.334636189999998, 34.01253445026795, 35.1705589940727]","[12.857142857142858, 12.857142857142858, 12.857142857142858, 25.0]","[47, 169, 26, 25]",0,1.0,2,[35.1705589940727],"[12.857142857142858, 25.0]","[242, 25]",0.09363295880149813,13.994114499732477
0,q3_basic,medium_delay,4,bootstrap_conditional,0.2136288261382383,"[28.821843131379502, 29.398260685, 30.456294565]","[11.0, 11.0, 11.0, 11.0]","[25, 28, 39, 175]",0,1.0,1,[],[11.0],[267],0.0,11.0
0,q3_basic,high_delay,4,bootstrap_conditional,0.2136288261382383,"[28.821843131379502, 29.398260685, 30.456294565]","[11.0, 11.0, 11.0, 11.0]","[25, 28, 39, 175]",0,1.0,1,[],[11.0],[267],0.0,11.0
0,q2,step_only,4,bootstrap_conditional,0.1689268290184465,"[29.071831297786503, 30.456294565, 31.6993715345789]","[25.0, 25.0, 25.0, 25.0]","[35, 57, 51, 124]",0,1.5,1,[],[25.0],[267],1.0,25.0
0,q2,low_delay,4,bootstrap_conditional,0.2129298627355759,"[28.821843131379502, 29.37857702, 34.411814519222446]","[12.857142857142858, 12.857142857142858, 12.857142857142858, 25.0]","[25, 26, 174, 42]",0,1.5,2,[34.411814519222446],"[12.857142857142858, 25.0]","[225, 42]",0.15730337078651685,14.76725521669342
0,q2,medium_delay,4,bootstrap_conditional,0.2372784644892988,"[28.95839341789075, 30.6746588676868, 35.1705589940727]","[11.0, 11.0, 11.0, 12.571428571428571]","[29, 81, 132, 25]",0,1.5,2,[35.1705589940727],"[11.0, 12.571428571428571]","[242, 25]",0.0,11.147137506688068
0,q2,high_delay,4,bootstrap_conditional,0.2373425433287394,"[28.821843131379502, 29.398260685, 31.269159645000002]","[11.0, 11.0, 11.0, 11.0]","[25, 28, 78, 136]",0,1.5,1,[],[11.0],[267],0.0,11.0
