baseline_bmi,target,first_model_crossing_week,first_supported_crossing_week,status,note
20.0,0.9,11.0,,no_supported_crossing,"exploratory threshold crossing, not recommended test time"
20.0,0.95,13.571428571428571,,no_supported_crossing,"exploratory threshold crossing, not recommended test time"
20.5,0.9,11.0,,no_supported_crossing,"exploratory threshold crossing, not recommended test time"
20.5,0.95,14.0,,no_supported_crossing,"exploratory threshold crossing, not recommended test time"
21.0,0.9,11.0,,no_supported_crossing,"exploratory threshold crossing, not recommended test time"
21.0,0.95,14.571428571428571,,no_supported_crossing,"exploratory threshold crossing, not recommended test time"
21.5,0.9,11.0,,no_supported_crossing,"exploratory threshold crossing, not recommended test time"
21.5,0.95,15.0,,no_supported_crossing,"exploratory threshold crossing, not recommended test time"
22.0,0.9,11.0,,no_supported_crossing,"exploratory threshold crossing, not recommended test time"
22.0,0.95,15.428571428571429,,no_supported_crossing,"exploratory threshold crossing, not recommended test time"
22.5,0.9,11.0,,no_supported_crossing,"exploratory threshold crossing, not recommended test time"
22.5,0.95,16.0,,no_supported_crossing,"exploratory threshold crossing, not recommended test time"
23.0,0.9,11.0,,no_supported_crossing,"exploratory threshold crossing, not recommended test time"
23.0,0.95,16.428571428571427,,no_supported_crossing,"exploratory threshold crossing, not recommended test time"
23.5,0.9,11.142857142857142,,no_supported_crossing,"exploratory threshold crossing, not recommended test time"
23.5,0.95,17.0,,no_supported_crossing,"exploratory threshold crossing, not recommended test time"
24.0,0.9,11.571428571428571,,no_supported_crossing,"exploratory threshold crossing, not recommended test time"
24.0,0.95,17.428571428571427,,no_supported_crossing,"exploratory threshold crossing, not recommended test time"
24.5,0.9,12.142857142857142,,no_supported_crossing,"exploratory threshold crossing, not recommended test time"
24.5,0.95,17.857142857142858,,no_supported_crossing,"exploratory threshold crossing, not recommended test time"
25.0,0.9,12.571428571428571,,no_supported_crossing,"exploratory threshold crossing, not recommended test time"
25.0,0.95,18.428571428571427,,no_supported_crossing,"exploratory threshold crossing, not recommended test time"
25.5,0.9,13.142857142857142,,no_supported_crossing,"exploratory threshold crossing, not recommended test time"
25.5,0.95,18.857142857142858,,no_supported_crossing,"exploratory threshold crossing, not recommended test time"
26.0,0.9,13.571428571428571,,no_supported_crossing,"exploratory threshold crossing, not recommended test time"
26.0,0.95,19.428571428571427,,no_supported_crossing,"exploratory threshold crossing, not recommended test time"
26.5,0.9,14.0,15.428571428571429,supported_grid_crossing,"exploratory threshold crossing, not recommended test time"
26.5,0.95,19.857142857142858,19.857142857142858,supported_grid_crossing,"exploratory threshold crossing, not recommended test time"
27.0,0.9,14.571428571428571,14.571428571428571,supported_grid_crossing,"exploratory threshold crossing, not recommended test time"
27.0,0.95,20.428571428571427,20.428571428571427,supported_grid_crossing,"exploratory threshold crossing, not recommended test time"
27.5,0.9,15.0,15.0,supported_grid_crossing,"exploratory threshold crossing, not recommended test time"
27.5,0.95,20.857142857142858,20.857142857142858,supported_grid_crossing,"exploratory threshold crossing, not recommended test time"
28.0,0.9,15.571428571428571,15.571428571428571,supported_grid_crossing,"exploratory threshold crossing, not recommended test time"
28.0,0.95,21.285714285714285,21.285714285714285,supported_grid_crossing,"exploratory threshold crossing, not recommended test time"
28.5,0.9,16.0,16.0,supported_grid_crossing,"exploratory threshold crossing, not recommended test time"
28.5,0.95,21.857142857142858,21.857142857142858,supported_grid_crossing,"exploratory threshold crossing, not recommended test time"
29.0,0.9,16.428571428571427,16.428571428571427,supported_grid_crossing,"exploratory threshold crossing, not recommended test time"
29.0,0.95,22.285714285714285,22.285714285714285,supported_grid_crossing,"exploratory threshold crossing, not recommended test time"
29.5,0.9,17.0,17.0,supported_grid_crossing,"exploratory threshold crossing, not recommended test time"
29.5,0.95,22.857142857142858,22.857142857142858,supported_grid_crossing,"exploratory threshold crossing, not recommended test time"
30.0,0.9,17.428571428571427,17.428571428571427,supported_grid_crossing,"exploratory threshold crossing, not recommended test time"
30.0,0.95,23.285714285714285,23.285714285714285,supported_grid_crossing,"exploratory threshold crossing, not recommended test time"
30.5,0.9,18.0,18.0,supported_grid_crossing,"exploratory threshold crossing, not recommended test time"
30.5,0.95,23.857142857142858,23.857142857142858,supported_grid_crossing,"exploratory threshold crossing, not recommended test time"
31.0,0.9,18.428571428571427,18.428571428571427,supported_grid_crossing,"exploratory threshold crossing, not recommended test time"
31.0,0.95,24.285714285714285,24.285714285714285,supported_grid_crossing,"exploratory threshold crossing, not recommended test time"
31.5,0.9,19.0,19.0,supported_grid_crossing,"exploratory threshold crossing, not recommended test time"
31.5,0.95,24.714285714285715,24.714285714285715,supported_grid_crossing,"exploratory threshold crossing, not recommended test time"
32.0,0.9,19.428571428571427,19.428571428571427,supported_grid_crossing,"exploratory threshold crossing, not recommended test time"
32.0,0.95,,,no_supported_crossing,"exploratory threshold crossing, not recommended test time"
32.5,0.9,19.857142857142858,19.857142857142858,supported_grid_crossing,"exploratory threshold crossing, not recommended test time"
32.5,0.95,,,no_supported_crossing,"exploratory threshold crossing, not recommended test time"
33.0,0.9,20.428571428571427,20.428571428571427,supported_grid_crossing,"exploratory threshold crossing, not recommended test time"
33.0,0.95,,,no_supported_crossing,"exploratory threshold crossing, not recommended test time"
