model,bin_low,bin_high,rows,subjects,mean_prediction,observed_rate
linear_raw,0.5,0.7,17,13,0.6481445865834238,0.5294117647058824
linear_raw,0.7,0.8,156,106,0.7712339584042422,0.8397435897435898
linear_raw,0.8,0.9,585,261,0.8515390635472597,0.8700854700854701
linear_raw,0.9,0.95,250,153,0.924044915838539,0.872
linear_raw,0.95,1.0,74,60,0.9599499527040594,0.9459459459459459
linear_calibrated,0.7,0.8,19,16,0.7812622659979983,0.5263157894736842
linear_calibrated,0.8,0.9,887,263,0.8636336883358976,0.8692220969560316
linear_calibrated,0.9,0.95,175,97,0.9165958452035148,0.8857142857142857
linear_calibrated,0.95,1.0,1,1,0.9561388868544998,1.0
week_spline_df3_raw,0.5,0.7,19,10,0.6576066135945418,0.5263157894736842
week_spline_df3_raw,0.7,0.8,146,77,0.7752778952039083,0.8356164383561644
week_spline_df3_raw,0.8,0.9,673,247,0.8517292319481062,0.8647845468053492
week_spline_df3_raw,0.9,0.95,105,87,0.9198343377303748,0.9142857142857143
week_spline_df3_raw,0.95,1.0,139,113,0.9690855401890675,0.9136690647482014
week_spline_df3_calibrated,0.7,0.8,17,9,0.7821208959190693,0.6470588235294118
week_spline_df3_calibrated,0.8,0.9,911,266,0.8621655767065888,0.8638858397365532
week_spline_df3_calibrated,0.9,0.95,122,96,0.92557308261532,0.8852459016393442
week_spline_df3_calibrated,0.95,1.0,32,27,0.9615085453738721,0.96875
