target,lower,upper,rows,subjects,predicted,observed
a13,0.0,0.05,487,144,0.02227537045212318,0.030800821355236138
a13,0.05,0.1,96,65,0.06785703573694737,0.03125
a13,0.1,0.2,19,16,0.12137516996338453,0.15789473684210525
a13,0.2,0.4,1,1,0.2385419590158163,0.0
a13,0.4,1.0,2,2,0.9208274809819107,1.0
a18,0.0,0.05,291,117,0.02674388271367091,0.020618556701030927
a18,0.05,0.1,173,95,0.0709257458673009,0.06358381502890173
a18,0.1,0.2,102,70,0.14102463891356729,0.14705882352941177
a18,0.2,0.4,35,30,0.25018546780470424,0.34285714285714286
a18,0.4,1.0,4,4,0.4849544488186469,0.5
a21,0.0,0.05,599,147,0.01790072700415993,0.021702838063439065
a21,0.05,0.1,6,6,0.06293764489570848,0.0
a_any,0.0,0.05,205,92,0.02746006626547507,0.024390243902439025
a_any,0.05,0.1,160,97,0.07363924765557157,0.0625
a_any,0.1,0.2,153,98,0.14128626875328032,0.1503267973856209
a_any,0.2,0.4,77,56,0.26214552481750303,0.2727272727272727
a_any,0.4,1.0,10,9,0.5904782128973295,0.8
